,date,us_return
222,2020-09-30,-0.035056
223,2020-10-30,-0.020178
224,2020-11-30,0.123707
225,2020-12-31,0.045048
226,2021-01-29,-0.000631
227,2021-02-26,0.029196
228,2021-03-31,0.030573
229,2021-04-30,0.04819
230,2021-05-28,0.007092
231,2021-06-30,0.023422
232,2021-07-30,0.011828
233,2021-08-31,0.027146
234,2021-09-30,-0.042243
235,2021-10-29,0.064651
236,2021-11-30,-0.018351
237,2021-12-31,0.033341
238,2022-01-31,-0.059823
239,2022-02-28,-0.021838
240,2022-03-31,0.030506
241,2022-04-29,-0.089387
242,2022-05-31,-0.002113
243,2022-06-30,-0.083998
244,2022-07-29,0.090351
245,2022-08-31,-0.036233
246,2022-09-30,-0.091323
247,2022-10-31,0.077394
248,2022-11-30,0.052354
249,2022-12-30,-0.05712
250,2023-01-31,0.071823
251,2023-02-28,-0.024666
252,2023-03-31,0.02395
253,2023-04-28,0.008976
254,2023-05-31,0.000708
255,2023-06-30,0.066183
256,2023-07-31,0.035618
257,2023-08-31,-0.020608
258,2023-09-29,-0.047391
259,2023-10-31,-0.028865
260,2023-11-30,0.092053
261,2023-12-29,0.053604
262,2024-01-31,0.007561
263,2024-02-29,0.050584
264,2024-03-28,0.03245
265,2024-04-30,-0.042724
266,2024-05-31,0.046553
267,2024-06-28,0.026073
268,2024-07-31,0.019878
269,2024-08-30,0.021572
270,2024-09-30,0.020969
271,2024-10-31,-0.008298
272,2024-11-29,0.064855
273,2024-12-31,-0.031582
