,date,rf
0,2000-01-31,0.004488259025362251
1,2000-02-29,0.0044285232563308335
2,2000-03-31,0.004879952204121917
3,2000-04-28,0.004391606431237
4,2000-05-31,0.0038955407026723334
5,2000-06-30,0.004690952002322917
6,2000-07-31,0.004895758586041
7,2000-08-31,0.005194777544786
8,2000-09-29,0.004933049332582251
9,2000-10-31,0.005022721480184583
10,2000-11-30,0.005099160841403251
11,2000-12-29,0.004807745166478834
12,2001-01-31,0.00402287208825075
13,2001-02-28,0.004177817821566249
14,2001-03-30,0.003693522713855333
15,2001-04-30,0.0031184341160309164
16,2001-05-31,0.0028710857859855
17,2001-06-29,0.0028455218065409167
18,2001-07-31,0.0030335266455839166
19,2001-08-31,0.0028116184840435003
20,2001-09-28,0.0019813881839948334
21,2001-10-31,0.0017444210810398334
22,2001-11-30,0.001439612560039
23,2001-12-31,0.0013633599547003333
24,2002-01-31,0.0014079106687149168
25,2002-02-28,0.0014438781990535835
26,2002-03-28,0.0014248363799142503
27,2002-04-30,0.0014606291474173333
28,2002-05-31,0.0014079106687149168
29,2002-06-28,0.0013888379127945
30,2002-07-31,0.001416406479270333
31,2002-08-30,0.0013803757517530833
32,2002-09-30,0.0013083661510795833
33,2002-10-31,0.00118367611059
34,2002-11-29,0.0010144638603899166
35,2002-12-31,0.0009467381762035001
36,2003-01-31,0.0009552551958717499
37,2003-02-28,0.00099543207658025
38,2003-03-31,0.0009509815394252501
39,2003-04-30,0.0009108785554787501
40,2003-05-30,0.0009341101938983333
41,2003-06-30,0.0006613628909158667
42,2003-07-31,0.0007332664388860418
43,2003-08-29,0.0008093648543406666
44,2003-09-30,0.000709970740982075
45,2003-10-31,0.0007628540949724334
46,2003-11-28,0.0007501790155767583
47,2003-12-31,0.0006888802939033332
48,2004-01-30,0.0006888646882905583
49,2004-02-27,0.000777652710661175
50,2004-03-31,0.0007692157870303417
51,2004-04-30,0.0006740675412496166
52,2004-05-28,0.0007565119060436417
53,2004-06-30,0.0009404827313135001
54,2004-07-30,0.0010652172633845002
55,2004-08-31,0.0012004789420591668
56,2004-09-30,0.0012154039017918334
57,2004-10-29,0.0014565380828704165
58,2004-11-30,0.0016933403574799165
59,2004-12-31,0.0015898377666132499
60,2005-01-31,0.00180130523023725
61,2005-02-28,0.0020806767845999168
62,2005-03-31,0.0021656591247663334
63,2005-04-29,0.002258751885871833
64,2005-05-31,0.0022922884250915834
65,2005-06-30,0.0024875846469055
66,2005-07-29,0.0026908483384770836
67,2005-08-31,0.0027843281057316665
68,2005-09-30,0.002654832328395083
69,2005-10-31,0.0030802929924755836
70,2005-11-30,0.0033088016057356666
71,2005-12-30,0.003288502004898
72,2006-01-31,0.003605709483371417
73,2006-02-28,0.003686264847309084
74,2006-03-31,0.00382715615810725
75,2006-04-28,0.0038441269128013334
76,2006-05-31,0.00391251711206825
77,2006-06-30,0.0039035270896056666
78,2006-07-31,0.004193694046823917
79,2006-08-31,0.004137204905360833
80,2006-09-29,0.00387382650819675
81,2006-10-31,0.004292670551337334
82,2006-11-30,0.004149939087849417
83,2006-12-29,0.003973539504595
84,2007-01-31,0.004167204193588583
85,2007-02-28,0.0042860844432667505
86,2007-03-30,0.004209076028679584
87,2007-04-30,0.003962155783818583
88,2007-05-31,0.003912265109947417
89,2007-06-29,0.0037762458255555837
90,2007-07-31,0.004254573966568
91,2007-08-31,0.00346024232193775
92,2007-09-28,0.0028688310860923334
93,2007-10-31,0.003318545644357917
94,2007-11-30,0.0026823738527157496
95,2007-12-31,0.0023813016900156667
96,2008-01-31,0.00138675399327275
97,2008-02-29,0.0017252736589415832
98,2008-03-31,0.0010313288660755834
99,2008-04-30,0.0010483352874734167
100,2008-05-30,0.00162369481751025
101,2008-06-30,0.0014120108889340835
102,2008-07-31,0.00131905609280075
103,2008-08-29,0.00138672236503
104,2008-09-30,0.0008029799252121084
105,2008-10-31,0.00021125179228100835
106,2008-11-28,2.5347591876290834e-05
107,2008-12-31,2.5347602438088334e-05
108,2009-01-30,0.00014787101652956666
109,2009-02-27,0.00014364579113271668
110,2009-03-31,0.000126744032778275
111,2009-04-30,2.9572262401272498e-05
112,2009-05-29,6.759514621930583e-05
113,2009-06-30,0.00012040645483046668
114,2009-07-31,0.00010773218094965834
115,2009-08-31,7.815704793933e-05
116,2009-09-30,3.5909327893473344e-05
117,2009-10-30,8.449113972833334e-06
118,2009-11-30,6.125769923293001e-05
119,2009-12-31,3.1684605365282496e-05
120,2010-01-29,1.26737008835075e-05
121,2010-02-26,6.125788429285583e-05
122,2010-03-31,0.00011195764883948333
123,2010-04-30,0.00011829485781378332
124,2010-05-28,0.00011406977210254167
125,2010-06-30,0.00013519600115363334
126,2010-07-30,0.00011829485781378332
127,2010-08-31,0.000126744032778275
128,2010-09-30,0.00011195744278407499
129,2010-10-29,0.00010561966054240833
130,2010-11-30,0.00014153186871548334
131,2010-12-31,6.759514621930583e-05
132,2011-01-31,0.00012463175774224167
133,2011-02-28,6.548250912240668e-05
134,2011-03-31,4.858353391571e-05
135,2011-04-29,1.26737008835075e-05
136,2011-05-31,3.590920071062167e-05
137,2011-06-30,6.336828658632833e-06
138,2011-07-29,7.393245303801418e-05
139,2011-08-31,0.0
140,2011-09-30,1.26737008835075e-05
141,2011-10-31,4.2245461315851665e-06
142,2011-11-30,0.0
143,2011-12-30,0.0
144,2012-01-31,3.168452285096251e-05
145,2012-02-29,4.435880331763833e-05
146,2012-03-30,2.957224802543833e-05
147,2012-04-30,6.337010190380917e-05
148,2012-05-31,2.3235264315419165e-05
